model,fset,target,rmse_train,rmse_fixed,loco_mean,loco_max,loco_10/13,loco_10/14,loco_10/15,loco_10/16,loco_10/17-18
Ridge2,I5_+DP,raw,0.0060513085417615,0.0955800207155153,0.0698552680402613,0.2063638737247065,0.0105745287294535,0.0033175379321754,0.2063638737247065,0.0334403790994556,0.0955800207155153
KNN,I5_+DP,raw,0.0034669504372429,0.0865607726140445,0.0616496185860917,0.1019350141302085,0.0418852579953498,0.0034499234383976,0.0744171247524578,0.1019350141302085,0.0865607726140445
SVR-RBF,I5_+DP,raw,0.0030716640525828,0.2373566743726624,0.1068193285670762,0.2373566743726624,0.1021241215672497,0.001298941412189,0.1261457939878134,0.0671711114954666,0.2373566743726624
RF,I5_+DP,raw,0.0011502732719464,0.1621271096854227,0.0767503513637895,0.1621271096854227,0.0307060653549201,0.0077645876951462,0.0833706167362088,0.0997833773472499,0.1621271096854227
ExtraTrees,I5_+DP,raw,1.794530546148224e-06,0.0961277103736191,0.0534463845274325,0.0961277103736191,0.0172744458806347,0.0040711692249065,0.0574414711357288,0.0923171260222732,0.0961277103736191
GBR,I5_+DP,raw,0.0037064458399008,0.1482439647245158,0.0695759707748729,0.1482439647245158,0.0166878975451867,0.008682869714927,0.08927654937232,0.0849885725174149,0.1482439647245158
HistGB,I5_+DP,raw,0.0023635088482235,0.1873294228467737,0.0814977289096342,0.1873294228467737,0.0270431766905975,0.0083144397682899,0.0841924144660628,0.1006091907764471,0.1873294228467737
MLP-64x64,I5_+DP,raw,0.0091770913018056,0.2121432076214987,0.1857180435118086,0.5779960913990436,0.0718763496347768,0.0023777062149584,0.5779960913990436,0.0641968626887653,0.2121432076214987
MLP-16,I5_+DP,raw,0.0433961129698607,0.4476835498398684,0.3599557417130145,0.865516254915695,0.1512074556085849,0.0060581882827793,0.865516254915695,0.3293132599181453,0.4476835498398684
Linear1,I5_+DP,logit,0.0106929991138293,0.0204833118697817,0.0247238421490697,0.0483512926971922,0.0155357605302076,0.0088147224206695,0.0483512926971922,0.0304341232274977,0.0204833118697817
Linear2,I5_+DP,logit,0.0048857119782733,0.2303348748055003,0.1203386591479966,0.3527232518738217,0.008470785495867,0.0023062057886761,0.3527232518738217,0.0078581777761179,0.2303348748055003
Ridge2,I5_+DP,logit,0.0053135181325681,0.0664999889294815,0.0482189083865311,0.1588754141338797,0.0072977198374345,0.001424502491906,0.1588754141338797,0.0069969165399539,0.0664999889294815
KNN,I5_+DP,logit,0.0034682470840335,0.0865038273434816,0.0616410279475753,0.1019289019326713,0.0418964885384999,0.0034507861784454,0.0744251357447782,0.1019289019326713,0.0865038273434816
SVR-RBF,I5_+DP,logit,0.0034249474942622,0.1873385494449714,0.0844878792302139,0.1873385494449714,0.0542416622763162,0.0023328793969251,0.0916305553493951,0.0868957496834619,0.1873385494449714
RF,I5_+DP,logit,0.0011660673196973,0.1659079129724999,0.0853842985932529,0.1659079129724999,0.0295395654522421,0.0085571730427967,0.0825222713029423,0.1403945701957834,0.1659079129724999
ExtraTrees,I5_+DP,logit,1.7945305461868269e-06,0.076178012581122,0.0501825105326708,0.0918261162264332,0.0168164520951117,0.0045212638502252,0.061570707910462,0.0918261162264332,0.076178012581122
GBR,I5_+DP,logit,0.0037123923777814,0.1360489600557028,0.0675101089615672,0.1360489600557028,0.0172875576068061,0.0127337693185203,0.0696841146377375,0.1017961431890693,0.1360489600557028
HistGB,I5_+DP,logit,0.0023985225638277,0.1932558068654062,0.0888259978409814,0.1932558068654062,0.0260308501428769,0.0088457780314084,0.0803082525108591,0.1356893016543566,0.1932558068654062
MLP-64x64,I5_+DP,logit,0.0055007274393074,0.0224559424062797,0.0443555050339218,0.1546430195465069,0.0147477405145921,0.0020019695264588,0.1546430195465069,0.0279288531757712,0.0224559424062797
MLP-16,I5_+DP,logit,0.0097045609482772,0.0487310216410197,0.0716653894831111,0.2054421262528816,0.0256396766722628,0.0050365025456781,0.2054421262528816,0.0734776203037134,0.0487310216410197
